DATE&SHIFT,DATE,SHIFT,OPERATOR,DENOMINATION,SERIES, QUANTITY , DRUM NUMBER ,CONTROL NUMBER,X,Y,Z
457281st,12-Mar-25,1st,MLN,25-SENTIMO,2020,"  68,500 ",AL03336C,01-04a-00231,1,,231
457281st,12-Mar-25,1st,MLN,25-SENTIMO,2020,"  60,000 ",AL03352A,01-04a-00232,1,,232
457281st,12-Mar-25,1st,MLN,25-SENTIMO,2020,"  60,000 ",AL03352B,01-04a-00233,1,,233
457281st,12-Mar-25,1st,MLN,25-SENTIMO,2020,"  30,000 ",,,,,0
457291st,13-Mar-25,1st,MLN,25-SENTIMO,2020,"  34,000 ",AL03352C,01-04a-00234,1,,234
457291st,13-Mar-25,1st,MLN,25-SENTIMO,2020,"  60,000 ",AL03429A,01-04a-00235,1,,235
457291st,13-Mar-25,1st,MLN,25-SENTIMO,2020,"  60,000 ",AL03429B,01-04a-00236,1,,236
457291st,13-Mar-25,1st,MLN,25-SENTIMO,2020,"  65,000 ",AL03429C,01-04a-00237,1,,237
457291st,13-Mar-25,1st,MLN,25-SENTIMO,2020,"  35,000 ",,,,,0
457301st,14-Mar-25,1st,MLN,25-SENTIMO,2020,"  25,000 ",AL03415A,01-04a-00238,1,,238
457301st,14-Mar-25,1st,MLN,25-SENTIMO,2020,"  60,000 ",AL03415B,01-04a-00239,1,,239
457301st,14-Mar-25,1st,MLN,25-SENTIMO,2020,"  60,000 ",AL03415C,01-04a-00240,1,,240
457331st,17-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03360A,01-04a-00241,1,,241
457331st,17-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03360B,01-04a-00242,1,,242
457331st,17-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,000 ",AL03360C,01-04a-00243,1,,243
457331st,17-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03413A,01-04a-00244,1,,244
457331st,17-Mar-25,1st,JMG,25-SENTIMO,2020,"  15,000 ",,,,,0
457341st,18-Mar-25,1st,JMG,25-SENTIMO,2020,"  45,000 ",AL03413B,01-04a-00245,1,,245
457341st,18-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,500 ",AL03413C,01-04a-00246,1,,246
457341st,18-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03367A,01-04a-00247,1,,247
457341st,18-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03367B,01-04a-00248,1,,248
457341st,18-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,500 ",AL03367C,01-04a-00249,1,,249
457341st,18-Mar-25,1st,JMG,25-SENTIMO,2020,"  10,000 ",,,,,0
457351st,19-Mar-25,1st,JMG,25-SENTIMO,2020,"  50,000 ",AL03375A,01-04a-00250,1,,250
457351st,19-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03375B,01-04a-00251,1,,251
457351st,19-Mar-25,1st,JMG,25-SENTIMO,2020,"  70,500 ",AL03375C,01-04a-00252,1,,252
457351st,19-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03380A,01-04a-00253,1,,253
457351st,19-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03380B,01-04a-00254,1,,254
457361st,20-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,600 ",AL03380C,01-04a-00255,1,,255
457361st,20-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03333A,01-04a-00256,1,,256
457361st,20-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03333B,01-04a-00257,1,,257
457361st,20-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,400 ",AL03333C,01-04a-00258,1,,258
457361st,20-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03289A,01-04a-00259,1,,259
457371st,21-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03289B,01-04a-00260,1,,260
457371st,21-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,500 ",AL03289C,01-04a-00261,1,,261
457371st,21-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03341A,01-04a-00262,1,,262
457371st,21-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03341B,01-04a-00263,1,,263
457371st,21-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,000 ",AL03341C,01-04a-00264,1,,264
457401st,24-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03411A,01-04a-00265,1,,265
457401st,24-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03411B,01-04a-00266,1,,266
457401st,24-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,500 ",AL03411C,01-04a-00267,1,,267
457401st,24-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03278A,01-04a-00268,1,,268
457401st,24-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03278B,01-04a-00269,1,,269
457401st,24-Mar-25,1st,JMG,25-SENTIMO,2020,"  30,000 ",,,,,0
457411st,25-Mar-25,1st,JMG,25-SENTIMO,2020,"  35,000 ",AL03278C,01-04a-00270,1,,270
457411st,25-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03332A,01-04a-00271,1,,271
457411st,25-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03332B,01-04a-00272,1,,272
457411st,25-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,500 ",AL03332C,01-04a-00273,1,,273
457411st,25-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03392A,01-04a-00274,1,,274
457411st,25-Mar-25,1st,JMG,25-SENTIMO,2020,"  20,000 ",,,,,0
457421st,26-Mar-25,1st,ECC,25-SENTIMO,2020,"  40,000 ",AL03392B,01-04a-00275,1,,275
457421st,26-Mar-25,1st,ECC,25-SENTIMO,2020,"  66,000 ",AL03392C,01-04a-00276,1,,276
457421st,26-Mar-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03425A,01-04a-00277,1,,277
457421st,26-Mar-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03425B,01-04a-00278,1,,278
457421st,26-Mar-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03425C,01-04a-00279,1,,279
457421st,26-Mar-25,1st,ECC,25-SENTIMO,2020,"  40,000 ",,,,,0
457431st,27-Mar-25,1st,JMG,25-SENTIMO,2020,"  20,000 ",AL03297A,01-04a-00280,1,,280
457431st,27-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03297B,01-04a-00281,1,,281
457431st,27-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,000 ",AL03297C,01-04a-00282,1,,282
457431st,27-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ", AL03386A ,01-04a-00283,1,,283
457431st,27-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ", AL03386B ,01-04a-00284,1,,284
457431st,27-Mar-25,1st,JMG,25-SENTIMO,2020,"  25,000 ",,,,,0
457441st,28-Mar-25,1st,JMG,25-SENTIMO,2020,"  40,500 ", AL03386C ,01-04a-00285,1,,285
457441st,28-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03366A,01-04a-00286,1,,286
457441st,28-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03366B,01-04a-00287,1,,287
457441st,28-Mar-25,1st,JMG,25-SENTIMO,2020,"  65,000 ",AL03366C,01-04a-00288,1,,288
457441st,28-Mar-25,1st,JMG,25-SENTIMO,2020,"  60,000 ",AL03400A,01-04a-00289,1,,289
457441st,28-Mar-25,1st,JMG,25-SENTIMO,2020,"  40,000 ",,,,,0
457471st,31-Mar-25,1st,JMG,25-SENTIMO,2020,"  20,000 ",AL03400B,01-04a-00290,1,,290
457471st,31-Mar-25,1st,JMG,25-SENTIMO,2020,"  84,500 ",AL03400C,01-04a-00291,1,,291
457491st,2-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03323A,01-04a-00292,1,,292
457491st,2-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03323B,01-04a-00293,1,,293
457491st,2-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03323C,01-04a-00294,1,,294
457491st,2-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03398A,01-04a-00295,1,,295
457491st,2-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03398B,01-04a-00296,1,,296
457501st,3-Apr-25,1st,MJSC,25-SENTIMO,2020,"  68,000 ",AL03398C,01-04a-00297,1,,297
457501st,3-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03305A,01-04a-00298,1,,298
457501st,3-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03305B,01-04a-00299,1,,299
457501st,3-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03305C,01-04a-00300,1,,300
457511st,4-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03303A,01-04a-00301,1,,301
457511st,4-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03303B,01-04a-00302,1,,302
457511st,4-Apr-25,1st,MJSC,25-SENTIMO,2020,"  85,000 ",AL03303c,01-04a-00303,1,,303
457511st,4-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03358A,01-04a-00304,1,,304
457511st,4-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03358B,01-04a-00305,1,,305
457541st,7-Apr-25,1st,MJSC,25-SENTIMO,2020,"  68,000 ",AL03358C,01-04a-00306,1,,306
457541st,7-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03293A,01-04a-00307,1,,307
457541st,7-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03293B,01-04a-00308,1,,308
457551st,8-Apr-25,1st,MJSC,25-SENTIMO,2020,"  65,000 ",AL03293C,01-04a-00309,1,,309
457551st,8-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03626A,01-04a-00310,1,,310
457551st,8-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03626B,01-04a-00311,1,,311
457551st,8-Apr-25,1st,MJSC,25-SENTIMO,2020,"  70,000 ",AL03626C,01-04a-00312,1,,312
457551st,8-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03830A,01-04a-00313,1,,313
457571st,10-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03830B,01-04a-00314,1,,314
457571st,10-Apr-25,1st,MJSC,25-SENTIMO,2020,"  65,000 ",AL03830C,01-04a-00315,1,,315
457571st,10-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03640A,01-04a-00316,1,,316
457571st,10-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03640B,01-04a-00317,1,,317
457571st,10-Apr-25,1st,MJSC,25-SENTIMO,2020,"  70,000 ",AL03640c,01-04a-00318,1,,318
457581st,11-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03606A,01-04a-00319,1,,319
457581st,11-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03606B,01-04a-00320,1,,320
457581st,11-Apr-25,1st,MJSC,25-SENTIMO,2020,"  65,000 ",AL03606C,01-04a-00321,1,,321
457581st,11-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03635A,01-04a-00322,1,,322
457581st,11-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03635B,01-04a-00323,1,,323
457611st,14-Apr-25,1st,MJSC,25-SENTIMO,2020,"  70,000 ",AL03635C,01-04a-00324,1,,324
457611st,14-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03631A,01-04a-00325,1,,325
457611st,14-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03631B,01-04a-00326,1,,326
457611st,14-Apr-25,1st,MJSC,25-SENTIMO,2020,"  70,000 ",AL03631C,01-04a-00327,1,,327
457611st,14-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03839A,01-04a-00328,1,,328
457621st,15-Apr-25,1st,EZC,25-SENTIMO,2020,"  60,000 ",AL03839B,01-04a-00329,1,,329
457621st,15-Apr-25,1st,EZC,25-SENTIMO,2020,"  60,000 ",AL03839C,01-04a-00330,1,,330
457621st,15-Apr-25,1st,EZC,25-SENTIMO,2020,"  60,000 ",AL03576A,01-04a-00331,1,,331
457621st,15-Apr-25,1st,EZC,25-SENTIMO,2020,"  60,000 ",AL03576B,01-04a-00332,1,,332
457621st,15-Apr-25,1st,EZC,25-SENTIMO,2020,"  80,000 ",AL03576C,01-04a-00333,1,,333
457681st,21-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03814A,01-04a-00334,1,,334
457681st,21-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03814B,01-04a-00335,1,,335
457681st,21-Apr-25,1st,MJSC,25-SENTIMO,2020,"  65,000 ",AL03814C,01-04a-00336,1,,336
457681st,21-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03634A,01-04a-00337,1,,337
457681st,21-Apr-25,1st,MJSC,25-SENTIMO,2020,"  25,000 ",,,,,0
457691st,22-Apr-25,1st,MJSC,25-SENTIMO,2020,"  35,000 ",AL03634B,01-04a-00338,1,,338
457691st,22-Apr-25,1st,MJSC,25-SENTIMO,2020,"  64,000 ",AL03634C,01-04a-00339,1,,339
457691st,22-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03677A,01-04a-00340,1,,340
457691st,22-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03677B,01-04a-00341,1,,341
457691st,22-Apr-25,1st,MJSC,25-SENTIMO,2020,"  65,000 ",AL03677C,01-04a-00342,1,,342
457701st,23-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03719a,01-04a-00343,1,,343
457701st,23-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03719B,01-04a-00344,1,,344
457701st,23-Apr-25,1st,MJSC,25-SENTIMO,2020,"  65,000 ",AL03719C,01-04a-00345,1,,345
457701st,23-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03642A,01-04a-00346,1,,346
457701st,23-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03642B,01-04a-00347,1,,347
457701st,23-Apr-25,1st,MJSC,25-SENTIMO,2020,"  10,000 ",,,,,0
457711st,24-Apr-25,1st,MJSC,25-SENTIMO,2020,"  55,000 ",AL03642C,01-04a-00348,1,,348
457711st,24-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03763A,01-04a-00349,1,,349
457711st,24-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03763B,01-04a-00350,1,,350
457711st,24-Apr-25,1st,MJSC,25-SENTIMO,2020,"  70,000 ",AL03763C,01-04a-00351,1,,351
457711st,24-Apr-25,1st,MJSC,25-SENTIMO,2020,"  45,000 ",,,,,0
457721st,25-Apr-25,1st,MJSC,25-SENTIMO,2020,"  15,000 ",AL03729A,01-04a-00352,1,,352
457721st,25-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03729B,01-04a-00353,1,,353
457721st,25-Apr-25,1st,MJSC,25-SENTIMO,2020,"  62,000 ",AL03729C,01-04a-00354,1,,354
457721st,25-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03794A,01-04a-00355,1,,355
457721st,25-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03794B,01-04a-00356,1,,356
457721st,25-Apr-25,1st,MJSC,25-SENTIMO,2020,"  35,000 ",,,,,0
457751st,28-Apr-25,1st,MJSC,25-SENTIMO,2020,"  35,000 ",AL03794C,01-04a-00357,1,,357
457751st,28-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03779A,01-04a-00358,1,,358
457751st,28-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03779B,01-04a-00359,1,,359
457751st,28-Apr-25,1st,MJSC,25-SENTIMO,2020,"  65,000 ",AL03779C,01-04a-00360,1,,360
457751st,28-Apr-25,1st,MJSC,25-SENTIMO,2020,"  50,000 ",,,,,0
457761st,29-Apr-25,1st,MJSC,25-SENTIMO,2020,"  10,000 ",AL03738A,01-04a-00361,1,,361
457761st,29-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03738B,01-04a-00362,1,,362
457761st,29-Apr-25,1st,MJSC,25-SENTIMO,2020,"  65,000 ",AL03738C,01-04a-00363,1,,363
457761st,29-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03604A,01-04a-00364,1,,364
457761st,29-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03604B,01-04a-00365,1,,365
457761st,29-Apr-25,1st,MJSC,25-SENTIMO,2020,"  25,000 ",,,,,0
457771st,30-Apr-25,1st,MJSC,25-SENTIMO,2020,"  40,000 ",AL03604C,01-04a-00366,1,,366
457771st,30-Apr-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03735A,01-04a-00367,1,,367
457791st,2-May-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03735B,01-04a-00368,1,,368
457791st,2-May-25,1st,MJSC,25-SENTIMO,2020,"  75,000 ",AL03735C,01-04a-00369,1,,369
457791st,2-May-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03756A,01-04a-00370,1,,370
457791st,2-May-25,1st,MJSC,25-SENTIMO,2020,"  60,000 ",AL03756B,01-04a-00371,1,,371
457791st,2-May-25,1st,MJSC,25-SENTIMO,2020,"  25,000 ",,,,,0
457821st,5-May-25,1st,DITC,25-SENTIMO,2020,"  35,000 ",AL03756C,01-04a-00372,1,,372
457821st,5-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03777A,01-04a-00373,1,,373
457821st,5-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03777B,01-04a-00374,1,,374
457821st,5-May-25,1st,DITC,25-SENTIMO,2020,"  65,000 ",AL03777C,01-04a-00375,1,,375
457831st,6-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03752A,01-04a-00376,1,,376
457831st,6-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03752B,01-04a-00377,1,,377
457831st,6-May-25,1st,DITC,25-SENTIMO,2020,"  65,000 ",AL03752C,01-04a-00378,1,,378
457831st,6-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03588A,01-04a-00379,1,,379
457831st,6-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03588B,01-04a-00380,1,,380
457841st,7-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03588C,01-04a-00381,1,,381
457841st,7-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03838A,01-04a-00382,1,,382
457841st,7-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03838B,01-04a-00383,1,,383
457841st,7-May-25,1st,DITC,25-SENTIMO,2020,"  70,000 ",AL03838C,01-04a-00384,1,,384
457841st,7-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03613A,01-04a-00385,1,,385
457851st,8-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03613B,01-04a-00386,1,,386
457851st,8-May-25,1st,DITC,25-SENTIMO,2020,"  70,000 ",AL03613C,01-04a-00387,1,,387
457851st,8-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03608A,01-04a-00388,1,,388
457851st,8-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03608B,01-04a-00389,1,,389
457851st,8-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03608C,01-04a-00390,1,,390
457861st,9-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03836A,01-04a-00391,1,,391
457861st,9-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03836B,01-04a-00392,1,,392
457861st,9-May-25,1st,DITC,25-SENTIMO,2020,"  70,000 ",AL03836C,01-04a-00393,1,,393
457861st,9-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03848A,01-04a-00394,1,,394
457861st,9-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03848B,01-04a-00395,1,,395
457861st,9-May-25,1st,DITC,25-SENTIMO,2020,"  15,000 ",,,,,0
457901st,13-May-25,1st,DITC,25-SENTIMO,2020,"  50,000 ",AL03848C,01-04a-00396,1,,396
457901st,13-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03568A,01-04a-00397,1,,397
457901st,13-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03568B,01-04a-00398,1,,398
457901st,13-May-25,1st,DITC,25-SENTIMO,2020,"  70,000 ",AL03568C,01-04a-00399,1,,399
457901st,13-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03570A,01-04a-00400,1,,400
457911st,14-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03570B,01-04a-00401,1,,401
457911st,14-May-25,1st,DITC,25-SENTIMO,2020,"  66,000 ",AL03570C,01-04a-00402,1,,402
457911st,14-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03826A,01-04a-00403,1,,403
457911st,14-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03826B,01-04a-00404,1,,404
457911st,14-May-25,1st,DITC,25-SENTIMO,2020,"  70,000 ",AL03826C,01-04a-00405,1,,405
457921st,15-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03816A,01-04a-00406,1,,406
457921st,15-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03816B,01-04a-00407,1,,407
457921st,15-May-25,1st,DITC,25-SENTIMO,2020,"  65,000 ",AL03816C,01-04a-00408,1,,408
457921st,15-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03822A,01-04a-00409,1,,409
457921st,15-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03822B,01-04a-00410,1,,410
457931st,16-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03822C,01-04a-00411,1,,411
457931st,16-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03845A,01-04a-00412,1,,412
457931st,16-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03845B,01-04a-00413,1,,413
457931st,16-May-25,1st,DITC,25-SENTIMO,2020,"  70,000 ",AL03845C,01-04a-00414,1,,414
457931st,16-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03572A,01-04a-00415,1,,415
457961st,19-May-25,1st,MBV,25-SENTIMO,2020,"  60,000 ",AL03572B,01-04a-00416,1,,416
457961st,19-May-25,1st,MBV,25-SENTIMO,2020,"  68,000 ",AL03572C,01-04a-00417,1,,417
457961st,19-May-25,1st,MBV,25-SENTIMO,2020,"  60,000 ",AL03659A,01-04a-00418,1,,418
457961st,19-May-25,1st,MBV,25-SENTIMO,2020,"  60,000 ",AL03659b,01-04a-00419,1,,419
457971st,20-May-25,1st,DITC,25-SENTIMO,2020,"  66,000 ",AL03659C,01-04a-00420,1,,420
457971st,20-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03650A,01-04a-00421,1,,421
457971st,20-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03650B,01-04a-00422,1,,422
457971st,20-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03650C,01-04a-00423,1,,423
457971st,20-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03665A,01-04a-00424,1,,424
457971st,20-May-25,1st,DITC,25-SENTIMO,2020,"  15,000 ",,,,,0
457981st,21-May-25,1st,DITC,25-SENTIMO,2020,"  45,000 ",AL03665B,01-04a-00425,1,,425
457981st,21-May-25,1st,DITC,25-SENTIMO,2020,"  70,000 ",AL03665C,01-04a-00426,1,,426
457981st,21-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03653A,01-04a-00427,1,,427
457981st,21-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03653B,01-04a-00428,1,,428
457981st,21-May-25,1st,DITC,25-SENTIMO,2020,"  65,000 ",AL03653C,01-04a-00429,1,,429
457981st,21-May-25,1st,DITC,25-SENTIMO,2020,"  20,000 ",,,,,0
457991st,22-May-25,1st,DITC,25-SENTIMO,2020,"  40,000 ",AL03651A,01-04a-00430,1,,430
457991st,22-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03651B,01-04a-00431,1,,431
457991st,22-May-25,1st,DITC,25-SENTIMO,2020,"  65,000 ",AL03651C,01-04a-00432,1,,432
457991st,22-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03662A,01-04a-00433,1,,433
457991st,22-May-25,1st,DITC,25-SENTIMO,2020,"  60,000 ",AL03662B,01-04a-00434,1,,434
457991st,22-May-25,1st,DITC,25-SENTIMO,2020,"  45,000 ",,,,,0
458001st,23-May-25,1st,HJB,25-SENTIMO,2020,"  15,000 ",AL03662C,01-04a-00435,1,,435
458001st,23-May-25,1st,HJB,25-SENTIMO,2020,"  60,000 ",AL03664A,01-04a-00436,1,,436
458001st,23-May-25,1st,HJB,25-SENTIMO,2020,"  60,000 ",AL03664B,01-04a-00437,1,,437
458001st,23-May-25,1st,HJB,25-SENTIMO,2020,"  65,000 ",AL03664C,01-04a-00438,1,,438
458001st,23-May-25,1st,HJB,25-SENTIMO,2020,"  60,000 ",AL03726A,01-04a-00439,1,,439
458031st,26-May-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03726B,01-04a-00440,1,,440
458031st,26-May-25,1st,ECC,25-SENTIMO,2020,"  80,000 ",AL03726C,01-04a-00441,1,,441
458031st,26-May-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03733A,01-04a-00442,1,,442
458031st,26-May-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03733B,01-04a-00443,1,,443
458031st,26-May-25,1st,ECC,25-SENTIMO,2020,"  20,000 ",,,,,0
458041st,27-May-25,1st,ECC,25-SENTIMO,2020,"  40,000 ",AL03733C,01-04a-00444,1,,444
458041st,27-May-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03673A,01-04a-00445,1,,445
458041st,27-May-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03673B,01-04a-00446,1,,446
458041st,27-May-25,1st,ECC,25-SENTIMO,2020,"  75,000 ",AL03673C,01-04a-00447,1,,447
458041st,27-May-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03692A,01-04a-00448,1,,448
458041st,27-May-25,1st,ECC,25-SENTIMO,2020,"  30,000 ",,,,,0
458051st,28-May-25,1st,ECC,25-SENTIMO,2020,"  30,000 ",AL03692B,01-04a-00449,1,,449
458051st,28-May-25,1st,ECC,25-SENTIMO,2020,"  65,000 ",AL03692C,01-04a-00450,1,,450
458051st,28-May-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03699A,01-04a-00451,1,,451
458051st,28-May-25,1st,ECC,25-SENTIMO,2020,"  60,000 ",AL03699B,01-04a-00452,1,,452
458051st,28-May-25,1st,ECC,25-SENTIMO,2020,"  65,000 ",AL03699C,01-04a-00453,1,,453
458051st,28-May-25,1st,ECC,25-SENTIMO,2020,"  45,000 ",,,,,0
458061st,29-May-25,1st,ECC,25-SENTIMO,2020,"  15,000 ",AL03717A,01-04a-00454,1,,454
